coordinates, output, route, battery
(34.0, 47.0), 53.97543253, (34.0, 45.0), (3.0, 45.0)
(24.0, 22.0), 66.13020717, (24.0, 12.0), (38.0, 12.0)
(49.0, 44.0), 39.82123377, (49.0, 23.0), (49.0, 23.0)
(19.0, 38.0), 46.4333204, (19.0, 45.0), (3.0, 45.0)
(22.0, 46.0), 62.43058175, (22.0, 45.0), (3.0, 45.0)
(17.0, 11.0), 62.14055349, (17.0, 12.0), (38.0, 12.0)
(19.0, 4.0), 52.43116675, (19.0, 3.0), (42.0, 3.0)
(8.0, 6.0), 30.48448777, (8.0, 12.0), (38.0, 12.0)
(9.0, 37.0), 63.19785578, (9.0, 45.0), (3.0, 45.0)
(16.0, 38.0), 65.00367928, (16.0, 45.0), (3.0, 45.0)
(20.0, 11.0), 40.20336825, (20.0, 12.0), (38.0, 12.0)
(19.0, 12.0), 53.03976583, (19.0, 12.0), (38.0, 12.0)
(33.0, 0.0), 39.13247939, (33.0, 3.0), (42.0, 3.0)
(33.0, 7.0), 39.45690812, (33.0, 12.0), (38.0, 12.0)
(21.0, 37.0), 53.84443114, (21.0, 45.0), (3.0, 45.0)
(37.0, 28.0), 60.40913294, (37.0, 12.0), (38.0, 12.0)
(2.0, 8.0), 27.78076375, (2.0, 45.0), (3.0, 45.0)
(23.0, 48.0), 57.77286486, (23.0, 45.0), (3.0, 45.0)
(28.0, 23.0), 38.72179636, (28.0, 12.0), (38.0, 12.0)
(27.0, 22.0), 29.92408755, (27.0, 12.0), (38.0, 12.0)
(47.0, 6.0), 41.78571625, (47.0, 3.0), (42.0, 3.0)
(38.0, 22.0), 59.91115918, (38.0, 12.0), (38.0, 12.0)
(47.0, 40.0), 71.42208448, (47.0, 23.0), (49.0, 23.0)
(23.0, 1.0), 37.23961036, (23.0, 3.0), (42.0, 3.0)
(18.0, 37.0), 70.21473166, (18.0, 45.0), (3.0, 45.0)
(30.0, 37.0), 61.05026554, (30.0, 12.0), (38.0, 12.0)
(4.0, 33.0), 38.13617191, (4.0, 45.0), (3.0, 45.0)
(16.0, 48.0), 29.83002147, (16.0, 45.0), (3.0, 45.0)
(12.0, 5.0), 74.15296092, (12.0, 3.0), (42.0, 3.0)
(31.0, 41.0), 68.6532457, (31.0, 12.0), (38.0, 12.0)
(50.0, 35.0), 54.25835415, (50.0, 23.0), (49.0, 23.0)
(9.0, 48.0), 41.7880369, (9.0, 12.0), (38.0, 12.0)
(22.0, 10.0), 72.88165705, (22.0, 12.0), (38.0, 12.0)
(26.0, 30.0), 62.0133643, (26.0, 12.0), (38.0, 12.0)
(15.0, 44.0), 53.08761347, (15.0, 12.0), (38.0, 12.0)
(5.0, 15.0), 52.08494864, (5.0, 12.0), (38.0, 12.0)
(21.0, 50.0), 38.71047582, (21.0, 12.0), (38.0, 12.0)
(30.0, 12.0), 66.05341632, (30.0, 12.0), (38.0, 12.0)
(21.0, 29.0), 45.33453242, (21.0, 12.0), (38.0, 12.0)
(37.0, 23.0), 51.94608562, (37.0, 12.0), (38.0, 12.0)
(27.0, 3.0), 57.11814462, (27.0, 3.0), (42.0, 3.0)
(23.0, 10.0), 29.34726889, (23.0, 12.0), (38.0, 12.0)
(13.0, 27.0), 37.28002017, (13.0, 12.0), (38.0, 12.0)
(48.0, 4.0), 58.90934923, (48.0, 3.0), (42.0, 3.0)
(20.0, 14.0), 45.14508246, (20.0, 12.0), (38.0, 12.0)
(11.0, 4.0), 44.75870431, (11.0, 3.0), (42.0, 3.0)
(43.0, 32.0), 46.63929091, (43.0, 23.0), (49.0, 23.0)
(2.0, 50.0), 29.93133051, (2.0, 12.0), (38.0, 12.0)
(30.0, 2.0), 60.7690834, (30.0, 3.0), (42.0, 3.0)
(28.0, 37.0), 55.74063546, (28.0, 12.0), (38.0, 12.0)
