coordinates, output, route, battery, cost
<<<<<<< HEAD
(21.0, 18.0), 51.94411629, (21.0, 11.0), (32.0, 11.0), 162.0
(47.0, 50.0), 47.82087397, (47.0, 41.0), (39.0, 41.0), 153.0
(25.0, 31.0), 51.81241388, (25.0, 34.0), (18.0, 34.0), 90.0
(27.0, 38.0), 53.11777253, (27.0, 34.0), (18.0, 34.0), 117.0
(30.0, 13.0), 54.14676516, (30.0, 11.0), (32.0, 11.0), 36.0
(48.0, 4.0), 45.24272018, (48.0, 1.0), (41.0, 1.0), 90.0
(32.0, 18.0), 46.74039375, (32.0, 11.0), (32.0, 11.0), 63.0
(49.0, 15.0), 54.75398768, (49.0, 11.0), (32.0, 11.0), 189.0
(3.0, 9.0), 47.72196575, (3.0, 35.0), (3.0, 35.0), 234.0
(46.0, 40.0), 51.86891316, (46.0, 41.0), (39.0, 41.0), 72.0
(3.0, 25.0), 46.8033198, (3.0, 35.0), (3.0, 35.0), 90.0
(1.0, 32.0), 54.99730646, (1.0, 35.0), (3.0, 35.0), 45.0
(32.0, 3.0), 47.04037014, (32.0, 11.0), (32.0, 11.0), 72.0
(32.0, 49.0), 50.25432556, (32.0, 41.0), (39.0, 41.0), 135.0
(30.0, 14.0), 45.54596912, (30.0, 11.0), (32.0, 11.0), 45.0
(39.0, 34.0), 49.93506537, (39.0, 41.0), (39.0, 41.0), 63.0
(3.0, 24.0), 49.07862835, (3.0, 35.0), (3.0, 35.0), 99.0
(43.0, 45.0), 54.18469088, (43.0, 41.0), (39.0, 41.0), 72.0
(1.0, 28.0), 46.63089313, (1.0, 35.0), (3.0, 35.0), 81.0
(15.0, 0.0), 48.43740503, (15.0, 1.0), (41.0, 1.0), 243.0
(30.0, 32.0), 52.92581641, (30.0, 34.0), (18.0, 34.0), 126.0
(18.0, 10.0), 53.98009231, (18.0, 11.0), (32.0, 11.0), 135.0
(21.0, 46.0), 52.91142802, (21.0, 34.0), (18.0, 34.0), 135.0
(21.0, 33.0), 46.75613739, (21.0, 34.0), (18.0, 34.0), 36.0
(39.0, 42.0), 47.34915773, (39.0, 41.0), (39.0, 41.0), 9.0
(17.0, 21.0), 46.26812357, (17.0, 34.0), (18.0, 34.0), 126.0
(12.0, 21.0), 53.63368373, (12.0, 34.0), (18.0, 34.0), 171.0
(17.0, 34.0), 52.96938435, (17.0, 34.0), (18.0, 34.0), 9.0
(46.0, 39.0), 46.60969509, (46.0, 41.0), (39.0, 41.0), 81.0
(33.0, 35.0), 45.84094791, (33.0, 41.0), (39.0, 41.0), 108.0
(43.0, 41.0), 51.95373609, (43.0, 34.0), (18.0, 34.0), 288.0
(15.0, 36.0), 54.30849405, (15.0, 34.0), (18.0, 34.0), 45.0
(18.0, 24.0), 54.2211502, (18.0, 34.0), (18.0, 34.0), 90.0
(16.0, 37.0), 52.58547404, (16.0, 34.0), (18.0, 34.0), 45.0
(47.0, 35.0), 46.9524009, (47.0, 34.0), (18.0, 34.0), 270.0
(42.0, 4.0), 53.46156177, (42.0, 1.0), (41.0, 1.0), 36.0
(3.0, 33.0), 49.79974209, (3.0, 35.0), (3.0, 35.0), 18.0
(41.0, 24.0), 51.75273225, (41.0, 11.0), (32.0, 11.0), 198.0
(4.0, 48.0), 48.27297674, (4.0, 35.0), (3.0, 35.0), 126.0
(1.0, 45.0), 54.91354462, (1.0, 35.0), (3.0, 35.0), 108.0
(27.0, 10.0), 50.04190502, (27.0, 11.0), (32.0, 11.0), 54.0
(28.0, 48.0), 54.22966024, (28.0, 34.0), (18.0, 34.0), 216.0
(11.0, 23.0), 48.85814641, (11.0, 34.0), (18.0, 34.0), 162.0
(1.0, 48.0), 54.54461427, (1.0, 35.0), (3.0, 35.0), 135.0
(43.0, 29.0), 47.94582721, (43.0, 11.0), (32.0, 11.0), 261.0
(38.0, 3.0), 49.86535747, (38.0, 1.0), (41.0, 1.0), 45.0
(31.0, 24.0), 46.38651333, (31.0, 11.0), (32.0, 11.0), 126.0
(25.0, 29.0), 53.35585729, (25.0, 34.0), (18.0, 34.0), 108.0
(16.0, 19.0), 54.16981224, (16.0, 34.0), (18.0, 34.0), 153.0
(45.0, 31.0), 48.01065715, (45.0, 34.0), (18.0, 34.0), 270.0
(27.0, 11.0), 50.55356632, (27.0, 11.0), (32.0, 11.0), 45.0
(46.0, 48.0), 47.37788381, (46.0, 34.0), (18.0, 34.0), 378.0
(17.0, 41.0), 48.60918505, (17.0, 34.0), (18.0, 34.0), 72.0
(39.0, 46.0), 48.14242474, (39.0, 34.0), (18.0, 34.0), 297.0
(14.0, 6.0), 49.72629004, (14.0, 11.0), (32.0, 11.0), 207.0
(8.0, 12.0), 46.01633925, (8.0, 11.0), (32.0, 11.0), 225.0
(0.0, 19.0), 51.03867367, (0.0, 35.0), (3.0, 35.0), 171.0
(13.0, 47.0), 48.4395487, (13.0, 34.0), (18.0, 34.0), 162.0
(39.0, 35.0), 52.0929123, (39.0, 34.0), (18.0, 34.0), 198.0
(25.0, 13.0), 45.5472391, (25.0, 11.0), (32.0, 11.0), 81.0
(8.0, 13.0), 46.46747877, (8.0, 11.0), (32.0, 11.0), 234.0
(33.0, 31.0), 48.25043584, (33.0, 34.0), (18.0, 34.0), 162.0
(28.0, 28.0), 45.40186719, (28.0, 34.0), (18.0, 34.0), 144.0
(39.0, 25.0), 49.93311335, (39.0, 11.0), (32.0, 11.0), 189.0
(12.0, 26.0), 49.65236115, (12.0, 34.0), (18.0, 34.0), 126.0
(6.0, 41.0), 46.05322103, (6.0, 35.0), (3.0, 35.0), 81.0
(16.0, 1.0), 48.70842308, (16.0, 1.0), (41.0, 1.0), 225.0
(20.0, 11.0), 48.54997218, (20.0, 11.0), (32.0, 11.0), 108.0
(7.0, 32.0), 51.72717898, (7.0, 35.0), (3.0, 35.0), 63.0
(2.0, 5.0), 51.62646163, (2.0, 35.0), (3.0, 35.0), 279.0
(41.0, 36.0), 52.78210048, (41.0, 34.0), (18.0, 34.0), 225.0
(10.0, 36.0), 49.13738507, (10.0, 35.0), (3.0, 35.0), 72.0
(4.0, 2.0), 52.76961749, (4.0, 35.0), (3.0, 35.0), 306.0
(20.0, 16.0), 48.0219944, (20.0, 11.0), (32.0, 11.0), 153.0
(31.0, 8.0), 45.78474275, (31.0, 11.0), (32.0, 11.0), 36.0
(24.0, 50.0), 52.98566399, (24.0, 34.0), (18.0, 34.0), 198.0
(25.0, 40.0), 49.79777396, (25.0, 34.0), (18.0, 34.0), 117.0
(48.0, 28.0), 47.99198559, (48.0, 11.0), (32.0, 11.0), 297.0
(50.0, 0.0), 53.71601636, (50.0, 1.0), (41.0, 1.0), 90.0
(30.0, 7.0), 45.2342213, (30.0, 11.0), (32.0, 11.0), 54.0
(21.0, 21.0), 53.15980812, (21.0, 34.0), (18.0, 34.0), 144.0
(20.0, 10.0), 50.30051709, (20.0, 11.0), (32.0, 11.0), 117.0
(6.0, 17.0), 46.01918212, (6.0, 35.0), (3.0, 35.0), 189.0
(30.0, 45.0), 50.8435769, (30.0, 34.0), (18.0, 34.0), 207.0
(50.0, 15.0), 53.95360569, (50.0, 11.0), (32.0, 11.0), 198.0
(16.0, 16.0), 53.32105133, (16.0, 34.0), (18.0, 34.0), 180.0
(14.0, 22.0), 50.63918945, (14.0, 34.0), (18.0, 34.0), 144.0
(11.0, 37.0), 52.2305101, (11.0, 34.0), (18.0, 34.0), 90.0
(50.0, 21.0), 51.82639703, (50.0, 11.0), (32.0, 11.0), 252.0
